C_F,Type,Full_Text
ABC,ORG,Công ty Truyền thông ABC
ADB,ORG,Ngân hàng Phát triển châu Á
ADN,DNA,AND
ANĐT,,an ninh điều tra
ATGT,,An toàn Giao thông
ATM,,Máy rút tiền tự động
ATNĐ,,áp thấp nhiệt đới
ATTT,,An toàn Trật tự
ATTTGT,,An toàn Trật tự Giao thông
ATVSTP,,an toàn vệ sinh thực phẩm
BBCVT,ORG,Bộ Bưu chính Viễn thông
BBT,ORG,Ban biên tập
BC,,"Bán công, Bưu chính"
BCĐ,ORG,Ban chỉ đạo
BCĐĐMĐH,ORG,Ban chỉ đạo đổi mới đại học
BCĐPCTNTƯ,ORG,Ban chỉ đạo phòng chống tham nhũng trung ương
BCĐQG,ORG,Ban chỉ đạo Quốc gia
BCĐT,,Bưu chính điện tử
BCĐTS,ORG,Ban chỉ đạo tuyển sinh
BCHCD,ORG,Ban chỉ huy chiến dịch
BCHQS,ORG,Bộ chỉ huy quân sự
BCHTƯ,ORG,Ban chỉ huy trung ương
BCHTW,ORG,Ban chỉ huy trung ương
BCVT,ORG,Bưu chính Viễn thông
BD,ORG,Bình Dương
BĐ,,Bóng đá
BĐN,LOC,Bồ Đào Nha
BĐS,,bất động sản
BĐVN,ORG,Bóng đá Việt Nam
BGD,ORG,Bộ Giáo dục
BGDĐT,ORG,Bộ Giáo dục và Đào tạo
BGH,ORG,Ban giám hiệu
BGK,ORG,Ban giám khảo
BH,,Bảo hiểm
BHĐC,,bán hàng đa cấp 
BHL,ORG,Ban huấn luyện
BHV,ORG,Ban huấn luyện
BHXH,ORG,Bảo hiểm xã hội
BHYT,ORG,Bảo hiểm y tế
BIDV,ORG,Ngân hàng Đầu tư và Phát triển Việt Nam
BK,,Bách khoa
BKS,ORG,"Ban Kiểm soát, biển kiểm soát"
BLHS,,Bộ luật Hình sự
BP,ORG,Biên phòng
BQL,ORG,Ban quản lý
BQLDA,ORG,Ban Quản lý dự án
BSC,ORG,Công ty Chứng khoán Ngân hàng Đầu tư & Phát triển Việt Nam
BT,,"bảo trì, bộ trưởng"
BTA,,Hiệp định Thương mại Việt - Mỹ
BTBNN,,bảo trợ bệnh nhân nghèo
BTC,ORG,Ban tổ chức
BTS,ORG,Ban tuyển sinh
BTV,PER,Biên tập viên
BTVH,,Bổ túc Văn hóa
BV,ORG,Bện viện
BVĐK,ORG,Bệnh viện Đa khoa
BVTV,,Bảo vệ thực vật
BX,ORG,Bến xe
BXL,ORG,Bộ xử lý
CAHN,ORG,Công an Hà Nội
CAND,ORG,Công an Nhân dân
CATP,ORG,Công an Thành phố
CB,,"Cơ bản, Cán bộ, Chế biến"
CBCC,PER,cán bộ công chức
CBCNV,PER,Cán bộ công nhân viên
CBQLGD,PER,cán bộ quản lý giáo dục
CCB,PER,Cựu chiến binh
CCHC,,cải cách hành chính
CĐ,,Cao đẳng
CĐDC,,chất độc da cam 
CĐSP,ORG,Cao đẳng Sư phạm
CĐV,PER,Cổ động viên
CG,ORG,Nhóm các nhà tài trợ cho Việt Nam
CHDC,,Cộng hòa Dân chủ
CHDCND,,Cộng hòa Dân chủ Nhân dân
CHLB,,Cộng hòa Liên bang
CHND,,Cộng hòa Nhân dân
CK,,Chứng khoán
CLB,ORG,Câu lạc bộ
CMND,,Chứng minh nhân dân
CNCN,ORG,Chi nhánh Cấp nước
CNH,,Công nghiệp hóa
CNKT,PER,công nhân kỹ thuật
CNQSDĐ,,chứng nhận quyền sử dụng đất
CNSH,,Công nghệ sinh học
CNTN,PER,cử nhân tài năng 
CNTT,,Công nghệ thông tin
CNV,PER,Công nhân viên
CNVC,PER,Công nhân viên chức
COPD,,bệnh phổi tắc nghẽn mãn tính
CP,,"Cổ phần, cổ phiếu"
CPE,,Hợp đồng lao động đầu tiên
CPH,,Cổ phần hóa
CPP,ORG,Đảng Nhân dân Campuchia
CPSXTM,,cổ phần Xây dựng sản xuất thương mại
CPTD,,cổ phiếu tự do
CPTTT,,chậm phát triển trí tuệ
CPXD,,cấp phép xây dựng
CQĐT,ORG,Cơ quan điều tra
CSCĐ,ORG,cảnh sát cơ động
CSDC,ORG,cảnh sát dã chiến
CSDL,,Cơ sở Dữ liệu
CSĐN,ORG,cảnh sát đặc nhiệm
CSĐT,ORG,"Cảnh sát điều tra, cơ sở đào tạo"
CSĐTLX,,cơ sở đào tạo lái xe
CSĐTTP,ORG,Cảnh sát Điều tra tội phạm
CSĐTTPMT,ORG,Cảnh sát điều tra tội phạm ma túy
CSG,ORG,Cảng Sài Gòn
CSGT,ORG,Cảnh sát giao thông
CSHS,ORG,Cảnh sát Hình sự
CSKH,,Chăm sóc khách hàng
CSKT,ORG,Cảnh sát kinh tế
CSKV,ORG,Cảnh sát khu vực
CSPCTPMT,ORG,Cục cảnh sát phòng chống tội phạm ma túy
CSPK,,công suất phản kháng
CSQLHC,ORG,Cảnh sát Quản lý hành chính
CSSD,ORG,Đảng Xã hội Dân chủ cánh tả
CSSX,,cơ sở sản xuất
CSVC,,Cơ sở vật chất
CSVL,ORG,Cao su Việt - Lào 
CSVN,ORG,Cộng sản Việt Nam
CSXH,,chính sách xã hội
CT,,"Chính trị, Công ty"
CTCC,,Công trình Công cộng
CTCH,,chấn thương chỉnh hình
CTCK,ORG,công ty chứng khoán
CTCLQG,ORG,Chương trình chống lao quốc gia
CTCN,ORG,Công ty Cấp nước
CTCP,ORG,Công ty Cổ phần
CTĐ,,Chữ thập đỏ
CTĐL,ORG,Công ty Điện lực
CTN,,chuyển tiền nhanh
CTSN,,Chấn thương sọ não
CTTC,,cho thuê tài chính 
CTTH,,chương trình truyền hình
CTTNHH,ORG,Công ty Trách nhiệm Hữu hạn
CTTT,,chương trình tiên tiến
CTV,PER,cộng tác viên
CTXH,,Công tác xã hội 
CV,PER,Chuyên viên
CVPM,ORG,Công viên phần mềm 
CX,,Cư xá
DAGTĐT,,dự án giao thông đô thị
ĐATP,ORG,Đông Á - Thép Pomina 
ĐB,,"Đại biểu, Đồng bằng"
ĐBDT,,đồng bào dân tộc
ĐBP,,Điện Biên Phủ
ĐBQH,PER,Đại biểu quốc hội
ĐBSCL,LOC,Đồng bằng sông Cửu Long
ĐBTN,PER,Đại biểu thanh niên
ĐBTSXB,,đánh bắt thủy sản xa bờ
ĐC,,"địa chỉ, điều chế"
DCCH,,Dân chủ Cộng hòa
ĐCS,ORG,Đảng cộng sản
ĐCSTQ,ORG,Đảng cộng sản Trung Quốc
ĐCSVN,ORG,Đảng cộng sản Việt Nam
DD,,"Dân dụng, Dinh dưỡng"
ĐD,,Đại diện
ĐĐ,,"Động đất, đất đai"
DDVN,,Duyên Dáng Việt Nam
ĐH,,Đại học
ĐHBC,ORG,Đại học Bán công
ĐHBK,ORG,Đại học Bách khoa
ĐHBKHCM,ORG,Đại học Bách khoa Thành phố Hồ Chí Minh
ĐHBKHN,ORG,Đại học Bách khoa Hà Nội
ĐHBKTPHCM,ORG,Đại học Bách khoa Thành phố Hồ Chí Minh
ĐHCĐ,,"đại hội cổ đông, Đại học Công đoàn"
ĐHCLC,,đại học chất lượng cao
ĐHCN,ORG,đại học Công nghệ
ĐHCT,ORG,Đại học Cần Thơ
ĐHĐCQT,ORG,Đại học đẳng cấp quốc tế
